State,Season,SoilType,N,P,K,Temperature,Humidity,pH,Rainfall,Crop
Tamil Nadu,Zaid,Red,70,19,72,25,35,5.8,254,Muskmelon
Jammu and Kashmir,Kharif,Alluvial,50,36,28,28.6,75,6.2,284,Maize
Haryana,Kharif,Clay,62,13,83,20.1,69,5.7,37,Chilli
Tamil Nadu,Rabi,Clay,84,68,67,26.8,67,6.5,48,Spinach
Telangana,Rabi,Black,78,19,21,33.1,83,6.5,110,Ragi
Arunachal Pradesh,Zaid,Sandy,45,26,66,31.6,36,6.5,128,Soybean
Nagaland,Zaid,Alluvial,24,50,16,21.4,67,6.5,82,Ragi
Meghalaya,Kharif,Loamy,22,69,28,20.1,31,7.6,76,Cabbage
Mizoram,Zaid,Clay,114,51,73,23.1,63,6.8,114,Wheat
Sikkim,Rabi,Clay,29,55,80,32.4,83,6,50,Cauliflower
Karnataka,Zaid,Sandy,57,36,70,26.5,73,7.3,152,Tur
Manipur,Zaid,Clay,28,71,13,30.1,42,7,55,Tur
Uttar Pradesh,Zaid,Alluvial,94,33,63,34.8,35,5.8,36,Sunflower
Punjab,Zaid,Loamy,23,51,75,35.8,32,5.6,246,Watermelon
Himachal Pradesh,Rabi,Clay,58,29,58,23.8,51,6.2,96,Rice
Haryana,Kharif,Sandy,90,71,27,23.8,95,7.2,156,Soybean
Goa,Rabi,Alluvial,48,60,34,31.5,40,7.1,120,Brinjal
Goa,Zaid,Red,108,36,44,20.3,81,7.5,133,Muskmelon
Tamil Nadu,Rabi,Black,45,47,75,27.3,40,7.7,40,Potato
Odisha,Zaid,Black,104,42,14,33.1,45,5.6,270,Groundnut
Uttarakhand,Zaid,Loamy,72,58,29,18.3,39,6.8,20,Watermelon
Sikkim,Rabi,Alluvial,72,32,75,19.1,84,7.3,233,Sunflower
Andhra Pradesh,Zaid,Clay,104,59,16,18.4,79,6.8,214,Soybean
Tamil Nadu,Zaid,Loamy,111,16,52,27.4,53,8,59,Soybean
Nagaland,Kharif,Clay,42,65,44,21.4,83,7.3,70,Carrot
Chhattisgarh,Zaid,Red,72,41,23,18,76,7.2,63,Chilli
Bihar,Zaid,Sandy,109,68,67,32.7,31,6.8,76,Tur
Nagaland,Kharif,Clay,52,49,46,34.9,70,6.7,166,Sugarcane
Bihar,Rabi,Clay,118,58,12,35.3,88,7.2,76,Soybean
Bihar,Rabi,Black,81,31,56,28.9,43,7.8,222,Barley
Arunachal Pradesh,Rabi,Loamy,21,38,38,29,84,6.4,24,Tur
Jammu and Kashmir,Kharif,Clay,41,77,51,25.2,81,5.8,224,Onion
Rajasthan,Kharif,Red,45,28,65,23.7,46,5.7,35,Gram
Bihar,Kharif,Alluvial,116,36,41,28.3,77,6,44,Cauliflower
Meghalaya,Zaid,Loamy,76,73,53,33.5,93,7.8,227,Brinjal
Delhi,Kharif,Loamy,100,17,27,24.9,87,7.2,205,Cabbage
Bihar,Rabi,Sandy,27,51,71,35,61,5.7,55,Ragi
Kerala,Zaid,Loamy,104,76,10,28.5,63,7.5,57,Soybean
Kerala,Zaid,Clay,116,15,78,25.9,30,6.4,198,Sunflower
Tripura,Zaid,Black,75,45,72,24.8,49,6.6,273,Watermelon
Haryana,Rabi,Alluvial,114,21,52,36.1,60,7.5,196,Wheat
Tamil Nadu,Kharif,Sandy,50,53,35,34.9,45,6.8,186,Mustard
Punjab,Kharif,Alluvial,57,18,22,26.8,52,7.6,205,Gram
West Bengal,Kharif,Sandy,84,45,18,20.4,69,6.1,41,Peas
West Bengal,Zaid,Clay,88,12,72,32.8,55,5.7,158,Coriander
Karnataka,Zaid,Alluvial,50,17,24,29.9,45,6.9,155,Bajra
Goa,Rabi,Sandy,80,20,33,35.6,30,7.5,98,Soybean
Chhattisgarh,Zaid,Loamy,79,71,57,33.9,60,6.4,59,Jowar
Himachal Pradesh,Zaid,Red,40,71,51,36.4,59,7.2,21,Gram
Meghalaya,Rabi,Black,49,27,64,18.3,42,7.4,81,Groundnut
Delhi,Kharif,Alluvial,26,52,48,27.7,66,7.1,214,Muskmelon
Odisha,Kharif,Loamy,120,12,27,37.5,63,5.5,46,Jowar
Goa,Zaid,Alluvial,69,41,36,28.5,95,7.4,89,Carrot
Delhi,Rabi,Alluvial,26,30,34,21.4,63,7.8,38,Chilli
Uttarakhand,Zaid,Black,36,11,88,31,79,6.5,86,Cotton
Haryana,Kharif,Red,53,73,55,32.1,48,7.9,137,Rice
Haryana,Zaid,Loamy,64,25,75,35.5,33,5.9,116,Cauliflower
Punjab,Rabi,Alluvial,40,42,61,25,88,7.4,128,Onion
Punjab,Kharif,Black,44,23,50,33.6,93,7.6,182,Sugarcane
Telangana,Kharif,Red,89,12,20,20,56,6,46,Cauliflower
Manipur,Zaid,Black,43,76,40,24.9,52,7.7,265,Wheat
Assam,Kharif,Clay,106,40,53,25.3,76,6.7,169,Potato
Rajasthan,Kharif,Black,59,37,73,37.7,71,7.1,169,Mustard
Tamil Nadu,Rabi,Red,101,22,85,19.2,94,7.4,209,Muskmelon
Meghalaya,Rabi,Red,100,44,40,34.3,89,7.2,254,Barley
Sikkim,Rabi,Black,84,46,80,20.8,71,7.5,51,Muskmelon
Madhya Pradesh,Kharif,Alluvial,33,15,35,30.9,32,6.2,31,Jowar
Haryana,Kharif,Sandy,50,12,86,26.6,70,7.7,300,Cotton
Arunachal Pradesh,Zaid,Red,31,15,37,27.2,77,6.5,232,Cucumber
Gujarat,Rabi,Sandy,68,30,65,18.3,42,6.8,181,Sugarcane
Punjab,Kharif,Loamy,39,59,15,19.9,94,7.6,142,Coriander
Maharashtra,Kharif,Black,34,32,27,36.2,36,7.4,279,Tur
Rajasthan,Zaid,Alluvial,74,31,29,28.8,32,5.6,250,Barley
Assam,Kharif,Sandy,22,31,82,32.9,48,5.9,36,Coriander
Gujarat,Rabi,Sandy,63,65,51,31.4,46,7.1,270,Groundnut
West Bengal,Zaid,Black,63,38,31,21.5,43,7.8,145,Groundnut
Punjab,Kharif,Clay,77,21,25,34.8,47,7.7,249,Sugarcane
Meghalaya,Zaid,Black,99,80,44,18.7,78,7.4,273,Rice
Andhra Pradesh,Zaid,Clay,29,28,12,32.2,75,6.4,115,Chilli
Haryana,Kharif,Loamy,64,72,44,30.7,40,6.9,131,Bajra
Andhra Pradesh,Rabi,Alluvial,25,58,42,31.3,74,7.9,266,Sunflower
Bihar,Kharif,Sandy,56,10,55,32.1,51,7.5,91,Coriander
Himachal Pradesh,Rabi,Red,104,61,47,20.7,33,5.5,151,Cabbage
Sikkim,Rabi,Sandy,107,26,41,36.4,34,7,241,Tur
Tamil Nadu,Zaid,Alluvial,55,78,54,25.6,63,6.6,127,Mustard
Gujarat,Kharif,Black,90,69,60,33,39,7.4,229,Ragi
Gujarat,Rabi,Loamy,72,69,21,27.4,73,7.8,208,Soybean
Haryana,Rabi,Red,29,46,78,37.6,58,7.8,141,Sugarcane
Himachal Pradesh,Zaid,Black,80,70,20,28.4,76,6.6,189,Onion
Nagaland,Kharif,Alluvial,91,29,61,20.9,72,6.7,294,Sesame
Bihar,Rabi,Black,28,40,77,30.5,39,5.6,224,Groundnut
Maharashtra,Kharif,Alluvial,21,39,34,18.9,91,6.4,26,Spinach
Nagaland,Rabi,Black,97,78,44,19,68,6.6,94,Watermelon
Goa,Rabi,Clay,21,73,60,27.9,43,6.6,262,Cauliflower
Delhi,Zaid,Alluvial,109,68,26,31.7,90,6.6,113,Cabbage
Sikkim,Kharif,Alluvial,91,79,56,26.6,77,7.7,164,Cotton
West Bengal,Zaid,Sandy,30,48,13,22.8,94,6,286,Coriander
Jammu and Kashmir,Rabi,Alluvial,57,44,31,29.2,91,7.9,262,Spinach
Kerala,Zaid,Red,28,66,14,36.9,48,6.3,38,Muskmelon
Gujarat,Zaid,Sandy,48,45,15,33.8,76,7.5,180,Tur
Manipur,Rabi,Sandy,38,22,60,27.2,56,5.9,80,Gram
Delhi,Kharif,Clay,41,55,57,34.6,40,6.3,284,Peas
Telangana,Rabi,Loamy,23,25,34,20.2,70,6.6,105,Groundnut
Haryana,Zaid,Clay,90,10,33,23.5,45,7.9,24,Tomato
Tripura,Zaid,Black,78,48,26,22.6,41,5.5,86,Potato
Rajasthan,Rabi,Black,34,75,13,25.3,62,8,55,Groundnut
Uttar Pradesh,Rabi,Sandy,29,26,27,33.5,57,5.6,119,Spinach
Nagaland,Zaid,Loamy,108,17,36,33.2,59,7.5,43,Cauliflower
Telangana,Rabi,Clay,80,76,42,22.1,35,7.5,285,Watermelon
Punjab,Kharif,Clay,41,74,16,30.3,43,5.6,21,Carrot
Odisha,Kharif,Red,106,22,60,26.3,67,7.1,181,Brinjal
Himachal Pradesh,Kharif,Loamy,110,77,66,21.4,68,6.3,63,Onion
Odisha,Zaid,Red,117,28,29,24.2,44,6.8,35,Gram
Goa,Kharif,Black,78,69,83,20.4,81,6.9,122,Onion
Delhi,Rabi,Alluvial,23,29,30,18.4,35,5.9,270,Cucumber
Haryana,Rabi,Alluvial,21,65,51,34.6,47,6.2,241,Cucumber
Mizoram,Rabi,Alluvial,32,15,13,20.3,45,7.2,179,Spinach
Nagaland,Rabi,Black,115,77,86,22.4,37,7.5,139,Soybean
Himachal Pradesh,Zaid,Red,87,37,32,18.5,68,6.5,218,Coriander
Chhattisgarh,Zaid,Alluvial,117,71,14,30.3,35,6.3,289,Cauliflower
Arunachal Pradesh,Rabi,Loamy,21,34,15,26.9,56,7.4,295,Watermelon
Delhi,Kharif,Red,56,35,77,32.1,58,7.8,208,Cotton
Karnataka,Rabi,Black,54,75,17,34.7,90,7.6,208,Jowar
Karnataka,Kharif,Black,115,66,63,26.7,88,6.3,87,Gram
Tripura,Zaid,Black,41,60,21,22.9,85,6.3,275,Onion
Odisha,Kharif,Loamy,109,16,67,27.7,92,7.1,245,Maize
Himachal Pradesh,Rabi,Sandy,87,70,21,24,59,6.1,192,Groundnut
Maharashtra,Rabi,Red,65,41,54,24.9,78,7.9,30,Sunflower
Assam,Rabi,Clay,87,19,35,25.5,50,7.2,46,Cauliflower
Delhi,Rabi,Sandy,114,52,67,19.6,69,7.6,289,Tur
Jammu and Kashmir,Rabi,Red,119,18,16,18,45,6.1,228,Cucumber
Uttar Pradesh,Kharif,Sandy,79,10,84,32.5,68,6.5,278,Cotton
Gujarat,Zaid,Clay,48,20,47,37.2,91,7.7,238,Cabbage
Madhya Pradesh,Zaid,Black,80,39,15,35.8,94,6.3,70,Soybean
Manipur,Rabi,Sandy,30,41,44,21.1,59,7.8,133,Cotton
Karnataka,Rabi,Red,30,67,82,23.1,85,7.5,112,Potato
Madhya Pradesh,Zaid,Black,26,15,17,34.6,45,6.1,234,Rice
Madhya Pradesh,Kharif,Loamy,88,18,84,26.4,38,5.8,81,Cotton
Uttarakhand,Zaid,Red,47,31,52,29.6,69,8,50,Carrot
Goa,Rabi,Alluvial,85,45,61,31,46,7.3,137,Sesame
Madhya Pradesh,Rabi,Loamy,79,33,90,26.8,66,7.1,135,Groundnut
Punjab,Zaid,Alluvial,59,50,32,24.2,35,7,297,Soybean
Nagaland,Zaid,Black,105,63,11,19.1,67,8,215,Sunflower
Tamil Nadu,Kharif,Loamy,103,74,69,28.1,53,7.1,286,Cauliflower
Jammu and Kashmir,Zaid,Red,115,50,36,36,59,7.4,294,Cotton
Goa,Rabi,Black,29,73,26,20.5,33,6.5,149,Groundnut
Odisha,Kharif,Black,34,55,73,24.6,54,7.3,190,Soybean
Tripura,Kharif,Red,90,75,37,37.4,91,5.9,78,Coriander
Arunachal Pradesh,Rabi,Alluvial,41,36,88,22.7,51,6.2,49,Chilli
Delhi,Kharif,Loamy,36,14,26,36.6,95,6.2,94,Cucumber
Karnataka,Rabi,Alluvial,96,29,73,37.6,86,6.1,248,Cauliflower
West Bengal,Zaid,Loamy,73,65,62,36.9,89,6.1,84,Sunflower
Tamil Nadu,Kharif,Loamy,39,62,13,20.4,80,7.8,280,Maize
Uttarakhand,Kharif,Red,24,43,54,25.3,34,5.6,76,Chilli
Chhattisgarh,Rabi,Red,34,46,14,34.3,45,6.6,191,Sugarcane
Meghalaya,Rabi,Red,35,75,49,32.1,83,6.8,287,Brinjal
Delhi,Rabi,Red,27,58,70,27.7,53,5.9,27,Sesame
Madhya Pradesh,Zaid,Clay,35,23,21,24.6,53,6,71,Maize
Tamil Nadu,Rabi,Alluvial,64,65,66,31.8,75,6.6,134,Wheat
Tripura,Kharif,Clay,43,51,71,25,81,6,274,Sesame
Gujarat,Kharif,Loamy,32,28,30,30.9,55,6.5,260,Cabbage
Mizoram,Zaid,Sandy,56,21,36,24.6,53,5.8,144,Muskmelon
West Bengal,Zaid,Black,120,65,74,27.6,88,6.8,104,Sunflower
Bihar,Kharif,Loamy,77,15,54,27.8,51,6.7,89,Soybean
Bihar,Kharif,Red,78,55,61,18.9,66,5.7,298,Muskmelon
Mizoram,Kharif,Clay,63,76,29,25,38,6.4,281,Brinjal
Uttarakhand,Kharif,Alluvial,44,12,63,23.4,79,7.4,115,Chilli
Tripura,Kharif,Sandy,95,56,36,22.3,80,7.6,129,Wheat
Karnataka,Zaid,Red,42,68,20,30.3,85,7.9,202,Brinjal
Odisha,Zaid,Sandy,57,63,69,36.4,72,7.6,70,Cucumber
Karnataka,Zaid,Black,23,58,59,18.1,79,7.2,148,Onion
Uttar Pradesh,Rabi,Loamy,110,69,31,37.1,49,7,110,Onion
Manipur,Rabi,Clay,72,67,28,30.3,80,7.2,197,Carrot
Andhra Pradesh,Zaid,Sandy,29,69,71,22.4,57,7.9,266,Chilli
Arunachal Pradesh,Zaid,Alluvial,101,62,16,25.7,91,6.1,36,Mustard
Chhattisgarh,Rabi,Alluvial,104,57,65,22.9,38,5.7,70,Soybean
Rajasthan,Kharif,Black,57,16,78,22.3,44,7.5,21,Sesame
Himachal Pradesh,Zaid,Clay,39,30,30,29.4,85,7.8,155,Wheat
West Bengal,Kharif,Black,32,40,19,37.4,52,7.5,295,Cabbage
Madhya Pradesh,Rabi,Red,41,78,37,22.8,60,6.2,215,Muskmelon
Manipur,Zaid,Red,100,21,83,20.1,37,6,125,Cotton
Tripura,Zaid,Sandy,49,47,39,25.4,41,6.4,63,Bajra
Delhi,Kharif,Alluvial,103,60,34,25.4,61,5.6,84,Bajra
Uttar Pradesh,Rabi,Clay,44,36,16,30.4,59,6.8,293,Wheat
Sikkim,Zaid,Loamy,71,15,36,20.9,38,5.8,177,Chilli
Tamil Nadu,Zaid,Alluvial,63,69,34,32.2,35,7.9,271,Mustard
Rajasthan,Zaid,Sandy,86,39,75,35.7,32,7.2,40,Gram
Gujarat,Kharif,Loamy,84,78,74,18.7,84,6,250,Cotton
Mizoram,Kharif,Black,30,30,24,23.7,83,7.1,278,Onion
Uttarakhand,Kharif,Clay,88,18,18,19.5,73,7.9,173,Rice
Nagaland,Kharif,Black,111,53,78,31.3,71,7.6,269,Onion
Telangana,Zaid,Sandy,42,48,31,20.6,78,7.5,111,Ragi
Karnataka,Kharif,Black,119,37,57,21.2,56,7.4,287,Sunflower
Telangana,Kharif,Black,87,35,12,24,32,7.5,252,Maize
Gujarat,Kharif,Clay,115,79,27,27.8,72,6.2,281,Maize
Kerala,Rabi,Red,71,80,11,22.3,53,6.4,22,Bajra
Tripura,Zaid,Sandy,111,27,76,29.6,65,6.9,234,Wheat
Himachal Pradesh,Rabi,Loamy,23,18,24,35.3,63,8,285,Soybean
Tripura,Zaid,Black,24,13,60,27.5,80,7.9,209,Peas
Karnataka,Kharif,Sandy,63,62,29,22.8,58,5.9,61,Gram
Telangana,Rabi,Sandy,95,57,68,34.5,87,7.4,155,Soybean
Assam,Zaid,Black,103,18,86,31.8,33,6.4,281,Jowar
Haryana,Rabi,Black,58,57,43,23.3,48,7.8,199,Barley
Himachal Pradesh,Kharif,Black,25,63,83,30.3,77,5.8,189,Rice
Jammu and Kashmir,Zaid,Alluvial,95,34,16,25.7,63,6.3,119,Gram
Tamil Nadu,Zaid,Alluvial,70,68,12,23.1,79,6,73,Chilli
Sikkim,Zaid,Loamy,88,73,18,32.1,35,7.8,257,Potato
Maharashtra,Kharif,Clay,118,75,85,37.7,73,7.3,238,Tomato
Maharashtra,Zaid,Black,29,31,38,21.5,92,5.9,37,Coriander
Madhya Pradesh,Rabi,Red,59,60,75,35.1,82,7.8,156,Jowar
Rajasthan,Rabi,Clay,106,25,57,32.3,52,5.8,140,Watermelon
Punjab,Rabi,Alluvial,25,46,10,37.4,56,7.3,205,Mustard
Jharkhand,Zaid,Red,119,23,77,34.3,32,7.6,197,Chilli
Kerala,Rabi,Red,85,11,33,31.8,78,7.4,55,Potato
Punjab,Rabi,Red,20,47,15,18.2,61,6,233,Gram
Madhya Pradesh,Kharif,Clay,78,70,66,24.1,90,6.9,279,Chilli
Gujarat,Rabi,Black,103,46,11,29.8,46,7.2,265,Groundnut
Jharkhand,Zaid,Alluvial,78,15,79,35.7,89,7,251,Coriander
Maharashtra,Zaid,Loamy,24,17,72,20.2,36,5.9,246,Cauliflower
Tamil Nadu,Rabi,Sandy,79,24,50,26.9,76,7.2,40,Wheat
Chhattisgarh,Zaid,Loamy,40,17,67,37.2,69,7.7,205,Rice
Jharkhand,Kharif,Alluvial,82,65,27,22.2,81,7.9,242,Wheat
Manipur,Rabi,Clay,23,37,84,22.5,88,6.7,154,Cucumber
Bihar,Rabi,Alluvial,85,52,37,27.5,89,5.8,215,Barley
Nagaland,Rabi,Loamy,102,34,60,22,37,7,177,Soybean
Delhi,Rabi,Loamy,82,10,66,23.9,73,5.7,300,Rice
Chhattisgarh,Rabi,Alluvial,99,17,73,21.6,73,6.7,109,Groundnut
Delhi,Rabi,Clay,53,69,73,32.3,73,7.6,145,Carrot
Mizoram,Kharif,Red,85,52,78,37,74,6.4,104,Rice
Andhra Pradesh,Rabi,Black,84,67,70,37.5,35,5.9,35,Rice
Bihar,Rabi,Red,71,63,78,36.5,32,5.6,138,Bajra
Tamil Nadu,Rabi,Loamy,24,25,27,18.3,30,6.5,181,Onion
Andhra Pradesh,Zaid,Sandy,111,38,24,25.7,44,7.6,163,Onion
Madhya Pradesh,Zaid,Red,107,47,82,32.1,88,7.1,285,Tur
Kerala,Zaid,Clay,38,22,25,26.4,61,7.8,119,Cauliflower
Uttar Pradesh,Rabi,Loamy,71,46,15,37.9,39,6.3,300,Muskmelon
Nagaland,Kharif,Alluvial,97,16,79,36,34,7.8,284,Barley
Jharkhand,Rabi,Alluvial,55,40,13,24.2,68,6.7,20,Watermelon
Rajasthan,Zaid,Red,35,30,14,24.6,49,6.3,138,Wheat
Nagaland,Zaid,Black,115,35,46,21.4,67,5.6,97,Watermelon
Tripura,Rabi,Loamy,118,33,87,24.5,49,6.5,143,Ragi
Uttar Pradesh,Kharif,Alluvial,100,60,82,36.5,90,7.1,23,Jowar
Sikkim,Zaid,Red,42,61,24,27.4,66,6,262,Cotton
Chhattisgarh,Zaid,Red,81,10,68,27.5,55,7.6,211,Wheat
Karnataka,Zaid,Red,67,55,57,33.7,81,6.8,27,Peas
Uttar Pradesh,Kharif,Black,28,33,54,18.4,56,6.2,70,Muskmelon
West Bengal,Zaid,Sandy,77,76,15,32.6,34,6.5,113,Brinjal
Arunachal Pradesh,Kharif,Sandy,32,58,25,20.7,84,7.8,140,Mustard
Nagaland,Rabi,Loamy,80,36,23,31.2,57,6.8,149,Sunflower
Jharkhand,Rabi,Sandy,82,68,51,21.7,35,7.7,197,Onion
Gujarat,Zaid,Black,44,10,87,26.1,72,6.8,108,Groundnut
Goa,Kharif,Black,108,57,51,23.7,42,5.8,181,Gram
Jammu and Kashmir,Zaid,Sandy,22,42,73,26.9,66,7.1,106,Peas
Bihar,Rabi,Black,114,69,15,20.7,91,7.9,65,Ragi
Jammu and Kashmir,Zaid,Red,112,36,26,27,64,6.1,102,Wheat
Jharkhand,Zaid,Clay,51,12,52,18.5,76,6.7,60,Wheat
Tripura,Kharif,Sandy,84,61,24,22.8,87,6,279,Soybean
Assam,Zaid,Alluvial,30,35,17,30.1,63,7.4,221,Potato
Karnataka,Rabi,Alluvial,63,59,33,27.8,46,7.7,143,Cotton
Maharashtra,Rabi,Clay,73,59,74,34.3,38,7.6,48,Mustard
Madhya Pradesh,Kharif,Alluvial,92,10,19,28.5,43,7.5,250,Gram
Gujarat,Rabi,Black,46,28,57,32.2,52,7.2,27,Barley
Madhya Pradesh,Kharif,Alluvial,36,19,66,37.3,31,6.6,154,Soybean
Manipur,Rabi,Clay,71,47,60,34.9,84,5.9,181,Watermelon
Odisha,Kharif,Black,117,25,90,22.6,75,6.2,120,Sesame
Bihar,Kharif,Clay,110,24,16,19.4,94,6,258,Rice
Arunachal Pradesh,Zaid,Red,105,42,13,31.7,93,6.1,109,Sesame
Assam,Rabi,Black,36,29,10,22.1,60,5.6,158,Mustard
Chhattisgarh,Kharif,Red,60,69,32,19.6,67,6.1,39,Soybean
Tripura,Rabi,Clay,23,33,73,35.2,76,7,44,Cabbage
Bihar,Rabi,Clay,114,13,73,25.1,82,7.6,23,Coriander
Madhya Pradesh,Zaid,Alluvial,59,42,12,35.8,48,8,259,Barley
Haryana,Zaid,Alluvial,54,42,78,26,71,6.7,109,Maize
Sikkim,Rabi,Sandy,35,22,90,34.3,72,7.8,170,Muskmelon
Uttarakhand,Rabi,Alluvial,43,35,50,23.1,72,7.7,232,Potato
Haryana,Kharif,Clay,98,60,88,35,81,7.7,170,Groundnut
Mizoram,Zaid,Sandy,46,64,17,28.8,51,6.2,293,Rice
Kerala,Zaid,Alluvial,36,66,35,23.1,87,6.5,163,Spinach
Himachal Pradesh,Zaid,Black,98,66,76,21.2,61,6.4,194,Sunflower
Haryana,Rabi,Black,23,46,46,36.3,60,6.6,112,Potato
Punjab,Rabi,Clay,47,41,83,20.5,72,7.7,105,Cotton
Maharashtra,Kharif,Black,44,43,66,32.4,49,6.7,123,Barley
Goa,Zaid,Black,54,15,72,19.1,92,6.3,210,Sugarcane
Rajasthan,Zaid,Red,94,13,39,33,42,7.3,102,Mustard
Uttar Pradesh,Rabi,Black,43,40,90,29.2,58,6.4,81,Peas
Nagaland,Kharif,Sandy,23,11,89,21.3,88,5.8,58,Cotton
West Bengal,Kharif,Red,47,59,48,31.1,55,7.1,172,Groundnut
Assam,Zaid,Sandy,83,67,69,26.9,58,6.5,95,Jowar
Punjab,Zaid,Sandy,49,17,18,19.6,79,6.1,102,Mustard
Uttar Pradesh,Rabi,Alluvial,85,74,37,26.5,90,7.3,101,Cucumber
Himachal Pradesh,Kharif,Sandy,57,20,26,36.2,64,5.6,52,Sunflower
Bihar,Kharif,Loamy,38,53,75,36.7,89,6.4,220,Bajra
Chhattisgarh,Kharif,Loamy,20,40,71,32.1,58,7.8,264,Cabbage
Himachal Pradesh,Kharif,Sandy,59,33,58,23.2,81,5.9,67,Onion
Uttarakhand,Rabi,Alluvial,41,21,59,25.3,47,5.5,299,Wheat
Arunachal Pradesh,Kharif,Loamy,49,57,71,36.2,53,5.6,61,Ragi
Punjab,Zaid,Red,30,24,57,24.7,71,6.5,272,Chilli
Jammu and Kashmir,Rabi,Clay,95,12,38,21.1,59,7.8,44,Jowar
Karnataka,Rabi,Loamy,37,65,40,30.3,58,7.1,198,Soybean
Chhattisgarh,Kharif,Black,99,13,89,26.6,76,7.5,62,Wheat
Punjab,Kharif,Red,99,37,18,36.1,37,7.2,101,Sugarcane
Arunachal Pradesh,Kharif,Sandy,37,68,78,24.1,62,6.8,258,Bajra
Jharkhand,Rabi,Loamy,115,17,29,19.7,90,7.3,192,Potato
Nagaland,Kharif,Black,108,64,38,32.1,47,5.9,152,Tomato
Bihar,Rabi,Red,79,73,79,35.2,93,6.3,204,Chilli
Himachal Pradesh,Zaid,Black,119,21,60,26.4,54,6.4,25,Groundnut
Jharkhand,Rabi,Sandy,34,26,37,33.3,71,7.7,154,Potato
Telangana,Rabi,Black,86,30,35,24.6,90,6.9,93,Barley
Gujarat,Kharif,Sandy,26,49,64,27.8,94,5.8,271,Cucumber
Goa,Rabi,Alluvial,20,43,71,21,66,6,253,Bajra
Maharashtra,Rabi,Loamy,24,22,53,34.7,65,7,232,Cauliflower
Goa,Kharif,Alluvial,77,21,70,37.8,53,6.7,211,Onion
Himachal Pradesh,Zaid,Clay,113,50,30,34.2,88,7.7,139,Maize
Tamil Nadu,Rabi,Black,37,20,35,33.7,88,5.8,213,Cabbage
Nagaland,Zaid,Black,32,45,29,28,63,6.4,281,Rice
Mizoram,Zaid,Clay,86,70,66,20.9,37,7,146,Groundnut
West Bengal,Kharif,Red,23,41,32,36.9,86,6.7,156,Spinach
Arunachal Pradesh,Zaid,Black,98,66,30,30.4,62,6.5,134,Tomato
Manipur,Rabi,Sandy,64,60,28,21.6,38,7.7,252,Mustard
Delhi,Kharif,Alluvial,27,11,11,31,63,5.9,188,Wheat
Nagaland,Rabi,Clay,43,46,61,33,87,7.6,279,Maize
Himachal Pradesh,Zaid,Clay,41,56,17,25.2,76,7.6,242,Brinjal
Odisha,Kharif,Sandy,103,25,12,38,32,6.5,123,Mustard
Haryana,Rabi,Clay,62,21,11,26.2,61,7.4,248,Bajra
Karnataka,Zaid,Black,29,69,71,21.3,56,6.6,233,Sunflower
Delhi,Zaid,Loamy,22,32,18,29.4,79,5.9,64,Brinjal
Haryana,Rabi,Loamy,96,43,73,23.1,68,7.4,206,Coriander
Tripura,Zaid,Clay,86,26,29,26,44,6.6,140,Cabbage
Bihar,Rabi,Sandy,57,39,72,22,88,6.5,274,Mustard
Karnataka,Kharif,Loamy,120,19,37,22,55,6.5,107,Jowar
Punjab,Kharif,Clay,62,52,39,30.9,57,6.9,34,Brinjal
Tripura,Rabi,Red,36,24,24,32.6,72,7.5,284,Sesame
Arunachal Pradesh,Rabi,Black,28,69,53,20.7,55,6.7,135,Jowar
West Bengal,Kharif,Sandy,37,70,69,27.4,68,7,57,Cucumber
West Bengal,Kharif,Alluvial,93,30,65,27.3,81,5.9,42,Peas
Bihar,Zaid,Red,96,50,71,36.9,60,5.7,294,Rice
Punjab,Zaid,Sandy,92,32,58,30.2,82,7.4,220,Watermelon
Uttarakhand,Kharif,Black,82,36,37,22.2,71,6.3,78,Cauliflower
Punjab,Zaid,Loamy,70,29,10,24,37,7.1,77,Mustard
Maharashtra,Rabi,Alluvial,41,33,19,35.2,68,6,205,Maize
Assam,Rabi,Black,41,67,36,18.1,57,6.7,197,Soybean
Uttar Pradesh,Zaid,Clay,45,80,26,19.3,94,7.9,188,Soybean
Himachal Pradesh,Rabi,Clay,44,47,34,26.7,71,6.2,119,Sesame
Uttarakhand,Rabi,Loamy,24,39,37,23,71,7.6,189,Bajra
West Bengal,Zaid,Red,78,15,35,18,86,6.8,115,Peas
Himachal Pradesh,Rabi,Clay,53,66,48,25.1,32,6.6,52,Brinjal
Assam,Rabi,Loamy,74,44,36,31.6,51,6.2,247,Mustard
Nagaland,Zaid,Loamy,108,33,86,20.3,90,7.4,32,Soybean
Tripura,Kharif,Sandy,92,45,64,27.2,84,6.1,276,Jowar
Gujarat,Kharif,Loamy,84,29,10,34.3,75,6.4,165,Wheat
Uttarakhand,Rabi,Loamy,119,39,19,23.5,63,5.9,120,Potato
Sikkim,Rabi,Alluvial,63,32,20,29.4,35,7.9,257,Cotton
Goa,Kharif,Loamy,54,79,12,19.4,49,6.4,266,Watermelon
Sikkim,Rabi,Sandy,111,61,66,25.9,47,6.6,86,Maize
Tamil Nadu,Zaid,Sandy,80,51,25,25.4,64,5.9,51,Spinach
Nagaland,Zaid,Alluvial,37,40,31,32.3,44,6.5,120,Sesame
Uttar Pradesh,Rabi,Sandy,21,31,65,19.2,78,6.9,274,Cucumber
Gujarat,Kharif,Clay,83,78,77,33.6,36,7.8,262,Barley
Meghalaya,Rabi,Sandy,39,56,51,19.6,33,6.4,225,Jowar
